subject_id,group,roi,category_id,parameter_estimate
sub-10,logicians,left_pITG,2,0.162017434835434
sub-14,logicians,left_pITG,2,1.47314870357513
sub-16,logicians,left_pITG,2,4.59428310394287
sub-17,logicians,left_pITG,2,7.828608751297
sub-18,logicians,left_pITG,2,0.489534363150597
sub-19,logicians,left_pITG,2,7.65269947052002
sub-21,logicians,left_pITG,2,12.3177952766418
sub-03,logicians,left_pITG,3,5.498779296875
sub-06,logicians,left_pITG,3,19.149022102356
sub-07,logicians,left_pITG,3,0.938690572977066
sub-08,logicians,left_pITG,3,2.12530636787415
sub-09,logicians,left_pITG,3,4.78279042243958
sub-10,logicians,left_pITG,3,-0.938013490755111
sub-14,logicians,left_pITG,3,0.787604883313179
sub-16,logicians,left_pITG,3,2.72857245802879
sub-17,logicians,left_pITG,3,6.52460098266602
sub-18,logicians,left_pITG,3,-0.749875247478485
sub-19,logicians,left_pITG,3,6.87219095230103
sub-21,logicians,left_pITG,3,8.25691866874695
sub-03,logicians,left_pITG,4,5.72138094902039
sub-06,logicians,left_pITG,4,16.4616169929504
sub-07,logicians,left_pITG,4,-1.53886028379202
sub-08,logicians,left_pITG,4,-0.366277694702148
sub-09,logicians,left_pITG,4,0.543350920081139
sub-10,logicians,left_pITG,4,0.594075381755829
sub-14,logicians,left_pITG,4,1.77108108997345
sub-16,logicians,left_pITG,4,0.832131572067738
sub-17,logicians,left_pITG,4,3.16772782802582
sub-18,logicians,left_pITG,4,0.574246380478144
sub-19,logicians,left_pITG,4,2.22885166108608
sub-21,logicians,left_pITG,4,1.64743965864182
sub-03,logicians,left_pITG,5,2.94694995880127
sub-06,logicians,left_pITG,5,14.0890803337097
sub-07,logicians,left_pITG,5,0.351962763816118
sub-08,logicians,left_pITG,5,-2.81584191322327
sub-09,logicians,left_pITG,5,1.99831476807594
sub-10,logicians,left_pITG,5,0.771641746163368
sub-14,logicians,left_pITG,5,0.835068911314011
sub-16,logicians,left_pITG,5,-0.35350114107132
sub-17,logicians,left_pITG,5,1.15960881114006
sub-18,logicians,left_pITG,5,-1.38801713101566
sub-19,logicians,left_pITG,5,2.38325777649879
sub-21,logicians,left_pITG,5,3.37123361229897
sub-03,logicians,left_pITG,6,-0.4870685338974
sub-06,logicians,left_pITG,6,12.6726756095886
sub-07,logicians,left_pITG,6,-2.89247786998749
sub-08,logicians,left_pITG,6,-0.75946706533432
sub-09,logicians,left_pITG,6,-0.916672050952911
sub-10,logicians,left_pITG,6,0.87826532125473
sub-14,logicians,left_pITG,6,-0.575593888759613
sub-16,logicians,left_pITG,6,-1.11954298615456
sub-17,logicians,left_pITG,6,2.18452516198158
sub-18,logicians,left_pITG,6,-3.12275683879852
sub-19,logicians,left_pITG,6,0.333600521087646
sub-21,logicians,left_pITG,6,1.28880172967911
sub-01,controls,left_IPS,1,1.99138195812702
sub-02,controls,left_IPS,1,2.08994436264038
sub-05,controls,left_IPS,1,0.246447324752808
sub-11,controls,left_IPS,1,-1.92635850608349
sub-12,controls,left_IPS,1,4.38163781166077
sub-13,controls,left_IPS,1,7.50322484970093
sub-15,controls,left_IPS,1,5.99427008628845
sub-20,controls,left_IPS,1,5.42860960960388
sub-22,controls,left_IPS,1,-0.254411578178406
sub-23,controls,left_IPS,1,1.29135496914387
sub-24,controls,left_IPS,1,1.39412117004395
sub-25,controls,left_IPS,1,1.37317109107971
sub-01,controls,left_IPS,2,0.0670682787895203
sub-02,controls,left_IPS,2,-0.666429653763771
sub-05,controls,left_IPS,2,-0.875098764896393
sub-11,controls,left_IPS,2,2.33527018129826
sub-12,controls,left_IPS,2,0.843059696257114
sub-13,controls,left_IPS,2,3.55386328697205
sub-15,controls,left_IPS,2,4.53637158870697
sub-20,controls,left_IPS,2,4.6668860912323
sub-22,controls,left_IPS,2,-0.0609645955264568
sub-23,controls,left_IPS,2,-2.67917042970657
sub-24,controls,left_IPS,2,3.52802321314812
sub-25,controls,left_IPS,2,0.578953847289085
sub-01,controls,left_IPS,3,-0.327607393264771
sub-02,controls,left_IPS,3,-0.590178832411766
sub-05,controls,left_IPS,3,2.67314875125885
sub-11,controls,left_IPS,3,0.268622159957886
sub-12,controls,left_IPS,3,4.24734285473824
sub-13,controls,left_IPS,3,4.09746684134007
sub-15,controls,left_IPS,3,5.30943965911865
sub-20,controls,left_IPS,3,5.66005730628967
sub-22,controls,left_IPS,3,3.6888587474823
sub-23,controls,left_IPS,3,-2.20284180250019
sub-24,controls,left_IPS,3,4.13281011581421
sub-25,controls,left_IPS,3,0.967695951461792
sub-01,controls,left_IPS,4,0.179704993963242
sub-02,controls,left_IPS,4,-2.65310823917389
sub-05,controls,left_IPS,4,-0.821765042841434
sub-11,controls,left_IPS,4,4.06024271249771
sub-12,controls,left_IPS,4,6.89216876029968
sub-13,controls,left_IPS,4,0.0442853420972824
