subject_id,group,roi,category_id,parameter_estimate
sub-13,controls,left_ATP,1,0.745995484292507
sub-15,controls,left_ATP,1,-1.58004632592201
sub-20,controls,left_ATP,1,12.3262042999268
sub-22,controls,left_ATP,1,-0.667749732732773
sub-23,controls,left_ATP,1,8.58276128768921
sub-24,controls,left_ATP,1,4.92360329627991
sub-25,controls,left_ATP,1,3.33175873756409
sub-01,controls,left_ATP,2,-1.50192093849182
sub-02,controls,left_ATP,2,-0.0962129831314087
sub-05,controls,left_ATP,2,6.28428530693054
sub-11,controls,left_ATP,2,4.52003479003906
sub-12,controls,left_ATP,2,-2.0554832816124
sub-13,controls,left_ATP,2,-0.0263257622718811
sub-15,controls,left_ATP,2,2.57463786005974
sub-20,controls,left_ATP,2,13.599250793457
sub-22,controls,left_ATP,2,-1.41038092970848
sub-23,controls,left_ATP,2,9.85102891921997
sub-24,controls,left_ATP,2,8.38100481033325
sub-25,controls,left_ATP,2,4.24836456775665
sub-01,controls,left_ATP,3,0.706248734146357
sub-02,controls,left_ATP,3,0.519674275070429
sub-05,controls,left_ATP,3,3.97274053096771
sub-11,controls,left_ATP,3,5.37357592582703
sub-12,controls,left_ATP,3,-3.75455820560455
sub-13,controls,left_ATP,3,1.45810109376907
sub-15,controls,left_ATP,3,-1.9991734996438
sub-20,controls,left_ATP,3,12.3347234725952
sub-22,controls,left_ATP,3,-2.28263056278229
sub-23,controls,left_ATP,3,8.88606357574463
sub-24,controls,left_ATP,3,7.91738677024841
sub-25,controls,left_ATP,3,3.14224606752396
sub-01,controls,left_ATP,4,3.28584539890289
sub-02,controls,left_ATP,4,4.90884041786194
sub-05,controls,left_ATP,4,7.28735566139221
sub-11,controls,left_ATP,4,8.64579892158508
sub-12,controls,left_ATP,4,-0.393483951687813
sub-13,controls,left_ATP,4,3.95300620794296
sub-15,controls,left_ATP,4,6.08963871002197
sub-20,controls,left_ATP,4,15.5388927459717
sub-22,controls,left_ATP,4,3.4316371679306
sub-23,controls,left_ATP,4,11.8538980484009
sub-24,controls,left_ATP,4,9.35276365280151
sub-25,controls,left_ATP,4,8.77178478240967
sub-01,controls,left_ATP,5,4.39136242866516
sub-02,controls,left_ATP,5,6.68492126464844
sub-05,controls,left_ATP,5,6.37005162239075
sub-11,controls,left_ATP,5,7.1560537815094
sub-12,controls,left_ATP,5,1.38279539346695
sub-13,controls,left_ATP,5,4.87604570388794
sub-15,controls,left_ATP,5,4.75729322433472
sub-20,controls,left_ATP,5,15.8951005935669
